date,medicine_id,branch_id,units_consumed
2025-09-19,MED001,BR01,18.9
2025-09-20,MED001,BR01,10.2
2025-09-21,MED001,BR01,12.1
2025-09-22,MED001,BR01,16.0
2025-09-23,MED001,BR01,18.4
2025-09-24,MED001,BR01,18.2
2025-09-25,MED001,BR01,18.4
2025-09-26,MED001,BR01,17.8
2025-09-27,MED001,BR01,13.7
2025-09-28,MED001,BR01,11.0
2025-09-29,MED001,BR01,17.8
2025-09-30,MED001,BR01,20.3
2025-10-01,MED001,BR01,17.4
2025-10-02,MED001,BR01,16.0
2025-10-03,MED001,BR01,16.2
2025-10-04,MED001,BR01,15.1
2025-10-05,MED001,BR01,9.2
2025-10-06,MED001,BR01,22.6
2025-10-07,MED001,BR01,13.3
2025-10-08,MED001,BR01,16.7
2025-10-09,MED001,BR01,15.0
2025-10-10,MED001,BR01,18.4
2025-10-11,MED001,BR01,14.1
2025-10-12,MED001,BR01,13.3
2025-10-13,MED001,BR01,17.1
2025-10-14,MED001,BR01,13.8
2025-10-15,MED001,BR01,16.6
2025-10-16,MED001,BR01,17.0
2025-10-17,MED001,BR01,15.1
2025-10-18,MED001,BR01,13.5
2025-10-19,MED001,BR01,13.3
2025-10-20,MED001,BR01,16.7
2025-10-21,MED001,BR01,17.4
2025-10-22,MED001,BR01,16.7
2025-10-23,MED001,BR01,13.8
2025-10-24,MED001,BR01,18.4
2025-10-25,MED001,BR01,9.0
2025-10-26,MED001,BR01,13.5
2025-10-27,MED001,BR01,14.7
2025-10-28,MED001,BR01,18.2
2025-10-29,MED001,BR01,18.2
2025-10-30,MED001,BR01,18.3
2025-10-31,MED001,BR01,19.2
2025-11-01,MED001,BR01,15.1
2025-11-02,MED001,BR01,12.4
2025-11-03,MED001,BR01,19.1
2025-11-04,MED001,BR01,16.5
2025-11-05,MED001,BR01,18.1
2025-11-06,MED001,BR01,19.5
2025-11-07,MED001,BR01,15.7
2025-11-08,MED001,BR01,9.5
2025-11-09,MED001,BR01,11.7
2025-11-10,MED001,BR01,19.8
2025-11-11,MED001,BR01,15.3
2025-11-12,MED001,BR01,19.7
2025-11-13,MED001,BR01,15.6
2025-11-14,MED001,BR01,17.1
2025-11-15,MED001,BR01,13.1
2025-11-16,MED001,BR01,37.6
2025-11-17,MED001,BR01,15.0
2025-11-18,MED001,BR01,19.0
2025-11-19,MED001,BR01,15.4
2025-11-20,MED001,BR01,19.9
2025-11-21,MED001,BR01,14.4
2025-11-22,MED001,BR01,15.5
2025-11-23,MED001,BR01,14.4
2025-11-24,MED001,BR01,15.2
2025-11-25,MED001,BR01,17.7
2025-11-26,MED001,BR01,17.2
2025-11-27,MED001,BR01,17.9
2025-11-28,MED001,BR01,19.3
2025-11-29,MED001,BR01,9.6
