medicine_id,branch_id,date,multiplier_vs_baseline,label
MED001,BR01,2025-11-16,3.27,abnormal_usage
MED001,BR01,2025-12-01,4.13,abnormal_usage
MED001,BR01,2026-07-09,2.53,abnormal_usage
MED001,BR01,2026-08-24,2.1,abnormal_usage
MED001,BR01,2026-08-28,3.97,abnormal_usage
MED001,BR01,2026-09-03,1.55,abnormal_usage
MED001,BR01,2026-09-04,1.66,abnormal_usage
MED001,BR01,2026-09-05,1.77,abnormal_usage
MED001,BR01,2026-09-06,1.88,abnormal_usage
MED001,BR01,2026-09-07,1.99,abnormal_usage
MED001,BR01,2026-09-08,2.1,abnormal_usage
MED001,BR01,2026-09-09,2.21,abnormal_usage
MED001,BR01,2026-09-10,2.32,abnormal_usage
MED001,BR01,2026-09-11,2.43,abnormal_usage
MED001,BR01,2026-09-12,2.54,abnormal_usage
MED001,BR01,2026-09-13,2.65,abnormal_usage
MED001,BR01,2026-09-14,2.76,abnormal_usage
MED001,BR01,2026-09-15,2.87,abnormal_usage
MED001,BR01,2026-09-16,2.98,abnormal_usage
MED001,BR01,2026-09-17,3.09,abnormal_usage
MED001,BR01,2026-09-18,3.2,abnormal_usage
MED001,BR02,2026-01-31,3.43,abnormal_usage
MED001,BR03,2026-08-03,2.75,abnormal_usage
MED002,BR01,2025-10-14,2.4,abnormal_usage
MED002,BR01,2025-12-31,2.46,abnormal_usage
MED002,BR01,2026-02-23,3.5,abnormal_usage
MED002,BR01,2026-08-12,4.14,abnormal_usage
MED002,BR01,2026-08-17,3.61,abnormal_usage
MED002,BR02,2025-10-06,2.36,abnormal_usage
MED002,BR02,2026-02-17,4.38,abnormal_usage
MED002,BR03,2026-03-02,3.18,abnormal_usage
MED003,BR01,2025-11-23,3.68,abnormal_usage
MED003,BR01,2025-12-15,2.48,abnormal_usage
MED003,BR01,2026-04-20,2.88,abnormal_usage
MED003,BR01,2026-05-18,4.4,abnormal_usage
MED003,BR02,2026-03-01,2.14,abnormal_usage
MED003,BR02,2026-03-20,4.33,abnormal_usage
MED003,BR02,2026-07-15,3.31,abnormal_usage
MED003,BR03,2026-04-29,2.14,abnormal_usage
MED003,BR03,2026-08-12,4.46,abnormal_usage
MED004,BR01,2025-12-19,2.53,abnormal_usage
MED004,BR01,2026-08-05,3.73,abnormal_usage
MED004,BR02,2026-02-03,2.86,abnormal_usage
MED004,BR02,2026-06-24,4.12,abnormal_usage
MED004,BR03,2025-12-27,3.55,abnormal_usage
MED005,BR01,2025-12-20,4.14,abnormal_usage
MED005,BR01,2026-01-03,3.22,abnormal_usage
MED005,BR01,2026-03-18,3.97,abnormal_usage
MED005,BR01,2026-09-07,2.15,abnormal_usage
MED005,BR02,2025-12-19,3.57,abnormal_usage
MED005,BR02,2026-08-18,3.32,abnormal_usage
MED005,BR03,2026-08-27,2.54,abnormal_usage
MED006,BR01,2026-08-27,3.59,abnormal_usage
MED006,BR02,2025-10-02,2.64,abnormal_usage
MED006,BR02,2026-07-13,3.95,abnormal_usage
MED006,BR03,2026-05-19,3.72,abnormal_usage
MED007,BR01,2026-05-07,2.23,abnormal_usage
MED007,BR02,2025-11-17,3.44,abnormal_usage
MED007,BR02,2026-08-02,3.41,abnormal_usage
MED007,BR03,2025-11-26,2.63,abnormal_usage
MED007,BR03,2026-03-04,3.69,abnormal_usage
MED007,BR03,2026-03-17,4.29,abnormal_usage
MED007,BR03,2026-05-09,3.42,abnormal_usage
MED007,BR03,2026-05-16,3.85,abnormal_usage
MED007,BR03,2026-05-23,4.25,abnormal_usage
MED007,BR03,2026-08-05,3.62,abnormal_usage
MED008,BR01,2026-08-05,3.38,abnormal_usage
MED008,BR02,2026-03-12,2.71,abnormal_usage
MED008,BR02,2026-03-19,4.25,abnormal_usage
MED008,BR02,2026-04-18,2.69,abnormal_usage
MED008,BR02,2026-04-20,2.68,abnormal_usage
MED008,BR02,2026-05-13,4.11,abnormal_usage
MED008,BR03,2025-09-30,2.05,abnormal_usage
MED008,BR03,2026-02-23,2.52,abnormal_usage
MED008,BR03,2026-03-17,3.36,abnormal_usage
MED009,BR01,2026-08-04,3.34,abnormal_usage
MED009,BR01,2026-08-14,3.09,abnormal_usage
MED009,BR02,2025-10-17,4.05,abnormal_usage
MED009,BR02,2025-11-10,2.8,abnormal_usage
MED009,BR02,2026-05-12,2.13,abnormal_usage
MED009,BR02,2026-05-23,3.03,abnormal_usage
MED009,BR02,2026-06-15,2.18,abnormal_usage
MED009,BR03,2026-03-26,2.5,abnormal_usage
MED009,BR03,2026-07-27,2.97,abnormal_usage
MED009,BR03,2026-09-02,4.25,abnormal_usage
MED010,BR01,2026-01-31,3.8,abnormal_usage
MED010,BR01,2026-02-05,3.44,abnormal_usage
MED010,BR02,2026-03-17,3.98,abnormal_usage
MED010,BR03,2025-10-09,2.59,abnormal_usage
MED010,BR03,2026-03-02,3.2,abnormal_usage
MED010,BR03,2026-03-21,3.93,abnormal_usage
MED010,BR03,2026-05-03,4.07,abnormal_usage
MED010,BR03,2026-05-24,2.34,abnormal_usage
MED011,BR01,2025-10-26,2.08,abnormal_usage
MED011,BR01,2025-11-22,4.12,abnormal_usage
MED011,BR01,2026-07-30,2.96,abnormal_usage
MED011,BR01,2026-08-05,2.9,abnormal_usage
MED011,BR01,2026-08-30,3.19,abnormal_usage
MED011,BR02,2025-12-18,3.4,abnormal_usage
MED011,BR02,2026-07-18,3.6,abnormal_usage
MED011,BR03,2026-05-06,4.29,abnormal_usage
MED011,BR03,2026-07-14,2.9,abnormal_usage
MED012,BR02,2025-12-30,3.1,abnormal_usage
MED012,BR02,2026-02-27,2.31,abnormal_usage
MED012,BR02,2026-06-21,3.76,abnormal_usage
MED012,BR03,2026-03-22,4.35,abnormal_usage
MED012,BR03,2026-04-11,3.15,abnormal_usage
MED013,BR01,2025-09-22,2.52,abnormal_usage
MED013,BR02,2026-07-20,3.91,abnormal_usage
MED013,BR03,2025-11-17,2.76,abnormal_usage
MED013,BR03,2025-12-16,3.32,abnormal_usage
MED014,BR01,2025-10-31,3.92,abnormal_usage
MED014,BR01,2025-11-06,3.94,abnormal_usage
MED014,BR01,2026-06-15,2.06,abnormal_usage
MED014,BR01,2026-07-07,2.48,abnormal_usage
MED014,BR02,2026-08-01,2.39,abnormal_usage
MED014,BR03,2025-11-15,2.67,abnormal_usage
MED014,BR03,2026-04-07,4.48,abnormal_usage
MED014,BR03,2026-06-28,3.07,abnormal_usage
MED014,BR03,2026-09-03,3.52,abnormal_usage
MED014,BR03,2026-09-09,2.57,abnormal_usage
MED015,BR01,2026-05-20,3.73,abnormal_usage
MED015,BR01,2026-07-23,3.94,abnormal_usage
MED015,BR02,2025-11-05,2.06,abnormal_usage
MED015,BR02,2026-05-18,2.33,abnormal_usage
MED015,BR02,2026-06-26,4.36,abnormal_usage
MED015,BR02,2026-08-24,2.52,abnormal_usage
MED015,BR03,2026-04-07,2.93,abnormal_usage
MED015,BR03,2026-06-20,2.89,abnormal_usage
MED015,BR03,2026-07-15,2.44,abnormal_usage
MED016,BR01,2026-02-28,2.26,abnormal_usage
MED016,BR01,2026-09-18,2.89,abnormal_usage
MED016,BR02,2026-05-30,3.53,abnormal_usage
MED016,BR03,2025-12-24,4.3,abnormal_usage
MED016,BR03,2026-01-23,4.31,abnormal_usage
MED016,BR03,2026-05-23,2.82,abnormal_usage
MED017,BR02,2025-11-18,4.45,abnormal_usage
MED017,BR02,2025-12-30,4.32,abnormal_usage
MED017,BR02,2026-06-07,3.45,abnormal_usage
MED017,BR02,2026-09-13,2.22,abnormal_usage
MED017,BR03,2026-02-10,2.35,abnormal_usage
MED017,BR03,2026-03-08,3.79,abnormal_usage
MED017,BR03,2026-08-16,4.17,abnormal_usage
MED017,BR03,2026-08-22,3.61,abnormal_usage
MED018,BR01,2025-12-07,2.59,abnormal_usage
MED018,BR01,2025-12-31,2.39,abnormal_usage
MED018,BR01,2026-04-04,3.44,abnormal_usage
MED018,BR02,2026-02-02,3.95,abnormal_usage
MED018,BR03,2026-01-19,2.71,abnormal_usage
MED018,BR03,2026-06-17,4.27,abnormal_usage
MED018,BR03,2026-08-14,3.08,abnormal_usage
MED019,BR01,2026-03-21,2.65,abnormal_usage
MED019,BR01,2026-04-28,2.25,abnormal_usage
MED019,BR01,2026-06-05,2.2,abnormal_usage
MED019,BR02,2026-05-07,3.52,abnormal_usage
MED019,BR03,2026-03-13,4.12,abnormal_usage
MED020,BR01,2026-04-04,3.06,abnormal_usage
MED020,BR01,2026-04-30,3.91,abnormal_usage
MED020,BR01,2026-08-16,4.39,abnormal_usage
MED020,BR02,2025-10-10,3.8,abnormal_usage
MED020,BR02,2025-10-27,4.48,abnormal_usage
MED020,BR02,2026-01-22,3.02,abnormal_usage
MED020,BR02,2026-02-25,4.36,abnormal_usage
MED020,BR03,2026-06-11,2.05,abnormal_usage
MED020,BR03,2026-09-13,4.08,abnormal_usage
MED021,BR01,2025-10-03,4.39,abnormal_usage
MED021,BR01,2026-02-03,2.79,abnormal_usage
MED021,BR01,2026-07-31,3.68,abnormal_usage
MED021,BR01,2026-08-09,3.0,abnormal_usage
MED021,BR02,2026-06-03,2.58,abnormal_usage
MED021,BR03,2026-01-17,2.58,abnormal_usage
MED021,BR03,2026-05-26,2.21,abnormal_usage
MED022,BR01,2026-04-23,3.73,abnormal_usage
MED022,BR01,2026-06-22,3.99,abnormal_usage
MED022,BR02,2026-02-25,3.69,abnormal_usage
MED022,BR02,2026-09-17,2.8,abnormal_usage
MED022,BR03,2025-09-22,3.29,abnormal_usage
MED022,BR03,2025-11-10,2.48,abnormal_usage
MED022,BR03,2025-12-23,2.71,abnormal_usage
MED023,BR01,2025-12-14,4.1,abnormal_usage
MED023,BR01,2026-05-18,2.66,abnormal_usage
MED023,BR02,2026-01-16,3.98,abnormal_usage
MED023,BR02,2026-06-13,3.18,abnormal_usage
MED023,BR02,2026-08-28,2.32,abnormal_usage
MED023,BR03,2026-07-06,2.82,abnormal_usage
MED024,BR01,2025-11-30,3.13,abnormal_usage
MED024,BR01,2026-03-20,2.75,abnormal_usage
MED024,BR01,2026-03-23,2.04,abnormal_usage
MED024,BR03,2025-11-01,2.52,abnormal_usage
MED024,BR03,2025-11-18,3.75,abnormal_usage
MED024,BR03,2025-12-20,3.01,abnormal_usage
MED024,BR03,2026-01-15,2.21,abnormal_usage
MED024,BR03,2026-05-16,2.42,abnormal_usage
MED024,BR03,2026-06-15,2.74,abnormal_usage
MED024,BR03,2026-08-30,2.76,abnormal_usage
MED025,BR01,2026-02-09,3.04,abnormal_usage
MED025,BR01,2026-03-30,3.44,abnormal_usage
MED025,BR01,2026-05-30,4.18,abnormal_usage
MED025,BR02,2026-04-20,4.19,abnormal_usage
MED025,BR02,2026-05-20,2.33,abnormal_usage
MED025,BR02,2026-08-12,3.02,abnormal_usage
MED025,BR03,2026-05-01,4.49,abnormal_usage
MED026,BR01,2026-01-01,3.12,abnormal_usage
MED026,BR01,2026-01-12,2.43,abnormal_usage
MED026,BR01,2026-02-19,3.28,abnormal_usage
MED026,BR01,2026-08-16,3.52,abnormal_usage
MED026,BR01,2026-08-27,4.23,abnormal_usage
MED026,BR03,2025-10-20,2.25,abnormal_usage
MED026,BR03,2026-08-30,3.31,abnormal_usage
MED027,BR02,2025-12-02,2.56,abnormal_usage
MED027,BR02,2025-12-19,3.26,abnormal_usage
MED027,BR02,2026-05-19,2.44,abnormal_usage
MED027,BR02,2026-06-06,3.13,abnormal_usage
MED027,BR02,2026-06-19,4.01,abnormal_usage
MED027,BR02,2026-06-21,3.09,abnormal_usage
MED027,BR02,2026-08-10,2.64,abnormal_usage
MED027,BR03,2026-01-09,2.17,abnormal_usage
MED027,BR03,2026-07-30,3.9,abnormal_usage
MED028,BR01,2025-11-14,2.86,abnormal_usage
MED028,BR01,2026-07-18,2.97,abnormal_usage
MED028,BR02,2025-10-11,2.21,abnormal_usage
MED028,BR02,2026-02-21,4.1,abnormal_usage
MED028,BR02,2026-09-18,3.33,abnormal_usage
MED028,BR03,2025-10-12,2.08,abnormal_usage
MED028,BR03,2025-10-27,3.6,abnormal_usage
MED028,BR03,2025-12-03,3.21,abnormal_usage
MED028,BR03,2026-05-28,3.81,abnormal_usage
MED028,BR03,2026-06-04,2.94,abnormal_usage
MED028,BR03,2026-06-16,2.59,abnormal_usage
MED028,BR03,2026-07-16,2.25,abnormal_usage
MED029,BR01,2025-11-28,2.08,abnormal_usage
MED029,BR02,2025-10-31,4.09,abnormal_usage
MED029,BR02,2025-12-04,2.53,abnormal_usage
MED029,BR02,2026-04-09,2.25,abnormal_usage
MED029,BR02,2026-04-10,4.39,abnormal_usage
MED029,BR02,2026-07-30,3.11,abnormal_usage
MED029,BR03,2026-06-30,2.53,abnormal_usage
MED029,BR03,2026-09-05,3.37,abnormal_usage
MED030,BR02,2025-09-19,2.74,abnormal_usage
